diff_LIX,diff_RIX,diff_REL,diff_KandelMoles,diff_Mesnager,diff_characters_per_word,diff_syll_per_word,diff_words_per_sentence,diff_sentences_per_paragraph,diff_type_token_ratio,diff_directspeech_ratio,diff_characters,diff_syllables,diff_words,diff_wordtypes,diff_sentences,diff_long_words,diff_complex_words,diff_complex_words_mes,diff_tobeverb,diff_auxverb,diff_conjunction,diff_preposition,diff_nominalization,diff_subordination,diff_article,diff_pronoun,diff_interrogative
-4.243589743589752,-1.0,2.973589743589727,3.1717948717949014,-2.3760683760683747,-0.217948717948718,-0.0128205128205129,-2.0,0.0,-0.0032051282051281,0.0,-14.0,-3.0,-2.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9.515151515151524,-3.0,18.60242424242425,18.88484848484849,-5.292929292929294,-0.0272727272727273,-0.1424242424242425,-8.0,0.0,-0.012121212121212,0.0,-47.0,-17.0,-8.0,-8.0,0.0,-3.0,-4.0,-3.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
-13.5,-4.0,16.428425925925936,18.04351851851851,-4.5,0.0740740740740735,-0.0370370370370369,-13.5,0.0,0.0,-0.5,2.0,-1.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-12.274193548387096,-4.5,10.984112903225837,13.437903225806464,-0.8655913978494638,0.129032258064516,0.064516129032258,-15.5,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
-4.841269841269835,-3.0,-0.3642857142857281,1.7857142857142918,-1.216931216931215,0.7063492063492065,0.1428571428571428,-10.0,0.0,0.1746031746031745,0.0,-43.0,-16.0,-10.0,-4.0,0.0,-3.0,-2.0,-3.0,0.0,-1.0,0.0,0.0,-2.0,0.0,-2.0,0.0,0.0
-4.533596837944664,-1.0,7.1304545454545405,6.375691699604772,-3.355731225296441,-0.3399209486166006,-0.1106719367588933,1.0,0.0,0.0,0.0,-3.0,-1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
-11.57142857142857,-3.5,8.463571428571427,10.578571428571408,-5.285714285714281,0.0809523809523806,0.0642857142857142,-13.0,0.0,0.0095238095238096,0.0,12.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,2.0,0.0
-26.0,-6.666666666666666,19.78140211640212,22.0256613756614,-6.68253968253968,0.0251322751322744,-0.0251322751322751,-17.666666666666664,0.0,0.003968253968254,0.0,6.0,1.0,1.0,1.0,2.0,-2.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-2.0,2.0,0.0
-13.887267904509288,-3.0,14.893720159151172,16.201127320954896,-5.159593280282934,-0.1976127320954903,-0.0437665782493368,-11.5,0.0,0.0159151193633951,0.0,8.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-8.452380952380956,-1.6666666666666663,3.8517857142856826,4.089285714285708,-3.214285714285708,-0.2023809523809525,-0.0178571428571427,-2.5,0.0,0.0119047619047618,-0.1666666666666666,11.0,5.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-11.996927803379414,-3.0,25.97795698924732,26.123655913978496,1.7869943676395297,-0.2150537634408609,-0.2150537634408602,-10.0,0.0,0.0168970814132104,0.0,-50.0,-20.0,-10.0,-9.0,0.0,-3.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-1.0,0.0,0.0
-10.58429118773946,-2.5,11.18354086845467,12.985472541507022,-3.23009791400596,-0.0587484035759899,0.0204342273307789,-12.5,0.0,-0.0613026819923371,0.0,8.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0
-13.63960113960114,-4.0,14.46983618233618,16.021723646723643,-2.1723646723646723,-0.0227920227920224,-0.0242165242165242,-12.5,0.0,0.0413105413105413,0.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8571428571428612,0.0,-1.6499999999999917,-1.0999999999999943,0.1269841269841229,0.0880952380952377,0.05,-2.0,0.0,0.0333333333333333,0.0,-9.0,-2.0,-2.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
